,Risk_Category,Loan_Amount,Credit_Score,Loan_Purpose,Annual_Income,Employment_Length,Debt-to-Income_Ratio,Number_of_Open_Accounts,Number_of_Past_Due_Payments
4601,low-risk,22070.0,681.0,home improvement,53594.83,3,0.35,3,1
4602,low-risk,19399.0,703.0,medical expenses,43617.12,5,0.35,3,1
4603,low-risk,22050.0,679.0,car,49734.31,3,0.4,5,1
4604,low-risk,13180.0,667.0,debt consolidation,45456.42,3,0.3,5,1
4605,low-risk,20311.0,673.0,medical expenses,56973.19,3,0.3,3,0
4606,high-risk,13472.0,643.0,business,59783.48,10,0.45,2,1
4607,low-risk,17501.0,700.0,home improvement,56232.04,8,0.3,3,1
4608,low-risk,17491.0,738.0,business,48493.55,5,0.4,3,0
4609,high-risk,14461.0,645.0,home improvement,52678.42,3,0.45,2,2
4610,low-risk,24770.0,748.0,business,57399.32,2,0.3,3,1
4611,low-risk,17840.0,725.0,debt consolidation,50827.93,10,0.35,4,1
4612,low-risk,20723.0,723.0,debt consolidation,55469.07,2,0.35,3,1
4613,low-risk,21812.0,696.0,car,56295.36,5,0.4,3,1
4614,low-risk,24536.0,790.0,business,57455.14,5,0.35,2,0
4615,low-risk,19538.0,703.0,car,49239.52,2,0.3,3,1
4616,low-risk,18382.0,641.0,business,62101.21,3,0.35,4,0
4617,high-risk,16130.0,597.0,debt consolidation,57003.87,2,0.45,5,2
4618,low-risk,23852.0,671.0,car,53538.09,3,0.3,5,0
4619,low-risk,19489.0,731.0,home improvement,54769.09,10,0.3,3,0
4620,high-risk,14588.0,588.0,debt consolidation,64125.59,3,0.5,2,2
4621,low-risk,15378.0,694.0,medical expenses,52144.83,2,0.4,4,0
4622,high-risk,20295.0,650.0,debt consolidation,51688.71,8,0.45,2,2
4623,low-risk,22593.0,704.0,debt consolidation,55371.38,10,0.4,3,1
4624,high-risk,11801.0,552.0,medical expenses,47861.39,10,0.45,4,2
4625,low-risk,18177.0,724.0,business,64622.11,2,0.4,3,1
4626,high-risk,11086.0,556.0,medical expenses,49408.91,8,0.45,5,1
4627,high-risk,16115.0,536.0,business,58373.9,8,0.45,3,1
4628,low-risk,19282.0,687.0,car,55811.89,5,0.4,3,0
4629,low-risk,19181.0,691.0,car,54730.36,8,0.4,2,1
4630,low-risk,24048.0,695.0,car,57420.06,5,0.3,2,0
4631,low-risk,24614.0,697.0,medical expenses,51749.1,3,0.4,3,0
4632,low-risk,15170.0,731.0,business,58240.73,3,0.3,3,0
4633,low-risk,20983.0,692.0,home improvement,50519.32,3,0.4,3,1
4634,low-risk,17669.0,759.0,debt consolidation,50751.71,5,0.35,3,0
4635,low-risk,19255.0,717.0,medical expenses,49000.38,8,0.3,5,1
4636,low-risk,20928.0,685.0,car,53468.4,2,0.4,4,0
4637,low-risk,19362.0,678.0,home improvement,55463.84,10,0.35,5,0
4638,low-risk,20691.0,731.0,business,57965.77,8,0.3,3,0
4639,low-risk,22019.0,701.0,business,52896.43,5,0.35,3,1
4640,low-risk,20884.0,700.0,business,56073.9,2,0.4,4,0
4641,low-risk,18059.0,682.0,medical expenses,54555.77,5,0.4,4,0
4642,low-risk,18112.0,698.0,debt consolidation,57203.39,5,0.4,3,1
4643,low-risk,15681.0,681.0,debt consolidation,51450.82,10,0.4,3,0
4644,low-risk,17438.0,741.0,home improvement,57434.6,2,0.3,5,0
4645,high-risk,13487.0,560.0,car,51891.12,3,0.45,2,1
4646,low-risk,17624.0,695.0,car,57118.88,8,0.3,5,1
4647,low-risk,16420.0,694.0,car,53339.9,3,0.4,4,0
4648,low-risk,20960.0,703.0,car,59470.12,5,0.4,3,1
4649,high-risk,12619.0,608.0,home improvement,56456.94,10,0.45,3,1
4650,high-risk,13550.0,611.0,home improvement,60899.17,2,0.45,5,1
4651,low-risk,24227.0,643.0,business,57463.58,10,0.3,4,1
4652,low-risk,21647.0,676.0,medical expenses,54542.87,10,0.4,2,1
4653,high-risk,11016.0,612.0,debt consolidation,60438.63,2,0.45,3,2
4654,low-risk,18727.0,678.0,home improvement,47561.9,2,0.35,3,0
4655,low-risk,18492.0,725.0,debt consolidation,54905.93,2,0.3,2,0
4656,low-risk,22624.0,693.0,business,54663.24,10,0.4,5,0
4657,low-risk,19076.0,756.0,business,56490.03,5,0.35,4,1
4658,high-risk,12686.0,645.0,home improvement,50536.68,10,0.45,5,2
4659,high-risk,15963.0,541.0,car,59157.74,5,0.5,2,2
4660,high-risk,19378.0,572.0,medical expenses,62418.62,8,0.5,3,2
4661,low-risk,26553.0,713.0,debt consolidation,54754.06,5,0.35,3,1
4662,high-risk,16376.0,602.0,debt consolidation,53101.55,8,0.5,2,2
4663,low-risk,19514.0,718.0,business,57178.65,3,0.35,3,0
4664,low-risk,20775.0,639.0,debt consolidation,50574.9,8,0.4,4,0
4665,high-risk,15806.0,632.0,car,52524.76,10,0.5,4,2
4666,low-risk,19130.0,670.0,home improvement,52969.41,3,0.4,3,1
4667,low-risk,21265.0,691.0,medical expenses,52529.63,10,0.3,3,1
4668,low-risk,24579.0,721.0,medical expenses,53780.93,10,0.4,3,0
4669,high-risk,13623.0,603.0,car,58630.44,8,0.45,3,1
4670,low-risk,24436.0,735.0,debt consolidation,53464.62,2,0.35,5,0
4671,low-risk,16860.0,689.0,car,54992.49,10,0.4,2,1
4672,low-risk,20952.0,765.0,medical expenses,50861.58,3,0.35,3,0
4673,high-risk,16466.0,637.0,car,59951.73,10,0.5,3,1
4674,high-risk,13431.0,645.0,medical expenses,50333.87,2,0.45,2,2
4675,low-risk,24129.0,736.0,debt consolidation,58164.37,2,0.4,3,0
4676,low-risk,19338.0,682.0,medical expenses,56674.01,10,0.3,3,1
4677,low-risk,18783.0,661.0,car,43318.47,2,0.4,5,1
4678,high-risk,15430.0,612.0,business,49661.46,8,0.45,3,1
4679,low-risk,14665.0,683.0,medical expenses,57091.16,5,0.3,5,0
4680,high-risk,18362.0,627.0,business,53812.61,2,0.5,2,1
4681,low-risk,19597.0,693.0,business,54835.41,10,0.4,5,1
4682,high-risk,12221.0,499.0,business,53060.51,2,0.45,3,2
4683,high-risk,16983.0,659.0,car,50854.05,10,0.45,5,1
4684,low-risk,16813.0,713.0,car,67101.68,3,0.3,3,1
4685,high-risk,11973.0,621.0,debt consolidation,57763.46,10,0.5,3,1
4686,low-risk,20879.0,713.0,medical expenses,59891.03,3,0.3,5,1
4687,low-risk,24060.0,717.0,home improvement,48903.56,5,0.3,3,0
4688,low-risk,19968.0,678.0,business,54476.3,8,0.4,2,0
4689,high-risk,18285.0,591.0,medical expenses,57049.46,5,0.45,4,1
4690,low-risk,22102.0,692.0,business,50298.4,10,0.4,3,1
4691,low-risk,20370.0,656.0,debt consolidation,55267.12,5,0.3,3,1
4692,low-risk,16731.0,746.0,car,59625.92,3,0.3,2,1
4693,low-risk,15696.0,672.0,home improvement,55314.06,5,0.4,2,0
4694,low-risk,20320.0,715.0,car,56030.21,8,0.35,2,1
4695,low-risk,18372.0,713.0,debt consolidation,59991.73,2,0.35,5,1
4696,high-risk,10848.0,584.0,debt consolidation,53151.95,3,0.5,2,1
4697,low-risk,22238.0,711.0,business,59856.17,5,0.4,2,0
4698,low-risk,19446.0,671.0,car,53334.45,5,0.35,4,0
4699,low-risk,16527.0,751.0,car,48465.39,5,0.35,5,1
4700,low-risk,21532.0,729.0,home improvement,58015.72,3,0.4,3,0
4701,high-risk,18234.0,612.0,medical expenses,59513.96,5,0.5,3,1
4702,high-risk,16910.0,620.0,debt consolidation,47176.43,2,0.45,3,1
4703,low-risk,17062.0,671.0,business,49305.83,10,0.3,2,0
4704,high-risk,15604.0,657.0,home improvement,49743.41,5,0.45,3,2
4705,high-risk,18860.0,628.0,car,48395.71,2,0.45,3,2
4706,high-risk,14051.0,660.0,business,57519.21,3,0.5,2,2
4707,low-risk,18670.0,660.0,debt consolidation,57035.8,10,0.4,2,1
4708,high-risk,9283.0,547.0,debt consolidation,52759.44,3,0.45,3,1
4709,low-risk,21656.0,658.0,medical expenses,48156.34,10,0.3,2,1
4710,low-risk,17659.0,707.0,car,52977.98,2,0.3,5,1
4711,low-risk,20353.0,733.0,debt consolidation,58963.03,2,0.3,2,1
4712,low-risk,18937.0,710.0,business,60993.66,10,0.35,2,1
4713,low-risk,22515.0,714.0,business,44258.79,2,0.3,3,0
4714,low-risk,19528.0,705.0,business,48087.96,8,0.35,4,0
4715,low-risk,19823.0,720.0,car,59978.35,10,0.3,3,0
4716,high-risk,16076.0,599.0,car,63187.59,5,0.5,3,1
4717,high-risk,15104.0,678.0,debt consolidation,57767.93,5,0.45,3,1
4718,low-risk,22665.0,727.0,medical expenses,48883.32,5,0.4,3,1
4719,high-risk,18518.0,663.0,medical expenses,50295.86,5,0.5,2,1
4720,high-risk,12289.0,642.0,medical expenses,55008.79,5,0.5,4,2
4721,high-risk,15825.0,616.0,home improvement,52875.29,8,0.5,3,2
4722,low-risk,17150.0,707.0,car,54636.83,5,0.4,4,0
4723,low-risk,18342.0,710.0,car,54658.31,2,0.4,5,0
4724,high-risk,14109.0,649.0,debt consolidation,58351.85,3,0.5,5,1
4725,low-risk,21960.0,706.0,business,51264.59,2,0.35,3,1
4726,low-risk,16786.0,732.0,car,56611.21,2,0.3,3,1
4727,low-risk,24000.0,772.0,medical expenses,50349.47,8,0.4,4,0
4728,low-risk,22256.0,704.0,home improvement,53164.89,8,0.3,3,0
4729,low-risk,20062.0,710.0,business,54110.43,2,0.35,2,0
4730,low-risk,20001.0,675.0,business,55150.7,2,0.3,3,0
4731,low-risk,18328.0,685.0,home improvement,47771.66,5,0.4,3,0
4732,high-risk,11691.0,584.0,home improvement,49199.1,3,0.45,2,2
4733,high-risk,22355.0,608.0,car,53008.35,8,0.5,3,2
4734,low-risk,17891.0,725.0,home improvement,60785.17,3,0.3,3,0
4735,high-risk,21400.0,586.0,debt consolidation,52566.14,3,0.45,5,1
4736,low-risk,22110.0,655.0,business,43083.68,8,0.3,3,1
4737,low-risk,20973.0,660.0,business,57949.37,3,0.35,5,0
4738,high-risk,16499.0,591.0,medical expenses,55946.89,5,0.5,3,1
4739,high-risk,17513.0,640.0,car,51878.42,8,0.5,2,1
4740,high-risk,17904.0,673.0,medical expenses,55567.35,2,0.45,4,1
4741,low-risk,17826.0,566.0,car,61637.84,10,0.4,3,0
4742,high-risk,11073.0,557.0,car,54261.46,5,0.45,5,2
4743,low-risk,19200.0,710.0,car,52312.08,8,0.4,5,0
4744,high-risk,15669.0,606.0,debt consolidation,51852.4,3,0.45,3,1
4745,high-risk,13584.0,515.0,home improvement,52768.19,2,0.45,5,2
4746,low-risk,19314.0,757.0,home improvement,51257.16,10,0.4,5,0
4747,low-risk,20503.0,743.0,debt consolidation,54993.44,8,0.35,2,1
4748,high-risk,12270.0,680.0,medical expenses,62863.98,5,0.45,5,1
4749,low-risk,23476.0,698.0,car,52670.67,5,0.35,3,0
4750,low-risk,21524.0,685.0,debt consolidation,49225.18,2,0.4,3,1
4751,high-risk,12900.0,548.0,medical expenses,48316.6,5,0.45,4,2
4752,low-risk,21571.0,701.0,home improvement,46214.35,8,0.3,3,0
4753,high-risk,12669.0,575.0,business,51775.77,2,0.5,3,2
4754,low-risk,18696.0,653.0,car,51187.83,10,0.3,2,1
4755,low-risk,15514.0,679.0,car,55527.0,8,0.3,3,0
4756,high-risk,19123.0,576.0,car,63719.66,5,0.5,2,1
4757,low-risk,19977.0,667.0,home improvement,57340.41,10,0.3,5,0
4758,low-risk,16635.0,708.0,car,58657.36,10,0.3,3,1
4759,high-risk,14107.0,585.0,car,63027.59,2,0.5,5,1
4760,low-risk,19737.0,714.0,home improvement,47181.34,5,0.4,3,0
4761,low-risk,19301.0,717.0,debt consolidation,60380.71,3,0.35,3,1
4762,low-risk,18748.0,719.0,medical expenses,60717.32,10,0.4,4,1
4763,high-risk,14112.0,534.0,business,51036.82,10,0.45,4,1
4764,high-risk,19020.0,440.0,medical expenses,57962.29,8,0.5,2,1
4765,high-risk,13881.0,593.0,home improvement,47343.28,2,0.5,3,2
4766,low-risk,21600.0,722.0,home improvement,51416.54,3,0.4,5,1
4767,high-risk,23228.0,556.0,medical expenses,63324.16,5,0.5,4,2
4768,low-risk,14984.0,669.0,home improvement,53368.83,5,0.3,3,0
4769,low-risk,18582.0,669.0,business,52021.57,8,0.3,3,1
4770,low-risk,16790.0,645.0,car,49899.44,3,0.4,4,-7.0
4771,high-risk,17836.0,555.0,debt consolidation,55205.2,5,0.45,3,2
4772,high-risk,14406.0,532.0,business,49454.18,10,0.5,3,1
4773,low-risk,15024.0,678.0,home improvement,50718.62,10,0.3,3,1
4774,low-risk,22277.0,648.0,debt consolidation,61817.96,8,0.35,2,0
4775,high-risk,20970.0,723.0,medical expenses,49688.67,5,0.45,3,1
4776,low-risk,24678.0,715.0,car,43473.75,8,0.35,4,0
4777,high-risk,14238.0,676.0,medical expenses,52784.06,8,0.45,4,1
4778,low-risk,16261.0,729.0,debt consolidation,59682.42,2,0.3,3,0
4779,low-risk,16574.0,657.0,car,49410.04,5,0.3,4,1
4780,low-risk,21044.0,688.0,medical expenses,52054.93,5,0.3,2,1
4781,low-risk,18826.0,688.0,debt consolidation,64598.77,8,0.3,2,1
4782,high-risk,17851.0,538.0,car,59260.11,8,0.45,3,1
4783,low-risk,24838.0,698.0,home improvement,51949.39,10,0.4,2,1
4784,high-risk,13801.0,615.0,car,55784.2,2,0.5,5,2
4785,low-risk,20180.0,699.0,debt consolidation,55797.73,8,0.35,3,1
4786,low-risk,24260.0,682.0,business,47767.98,5,0.3,4,1
4787,low-risk,20812.0,714.0,debt consolidation,51842.47,2,0.3,4,0
4788,low-risk,15180.0,706.0,business,57571.31,5,0.3,2,0
4789,high-risk,18689.0,556.0,medical expenses,49227.59,2,0.5,2,2
4790,low-risk,16511.0,701.0,home improvement,54141.27,10,0.35,2,0
4791,low-risk,24220.0,677.0,car,44676.26,3,0.35,4,0
4792,low-risk,17531.0,674.0,debt consolidation,61346.96,3,0.35,5,0
4793,low-risk,28909.0,724.0,home improvement,66856.34,8,0.4,4,0
4794,low-risk,24402.0,713.0,business,56276.19,3,0.35,2,0
4795,high-risk,17631.0,598.0,business,52120.18,5,0.5,5,1
4796,low-risk,20060.0,719.0,debt consolidation,42847.86,5,0.35,2,0
4797,low-risk,22261.0,673.0,business,57740.56,2,0.35,5,0
4798,low-risk,22351.0,730.0,home improvement,58881.24,10,0.4,2,1
4799,high-risk,12261.0,613.0,home improvement,56629.8,8,0.45,5,1
4800,low-risk,23756.0,728.0,home improvement,60891.34,8,0.35,3,0
4801,low-risk,19631.0,696.0,debt consolidation,57033.1,5,0.4,5,1
4802,low-risk,18900.0,709.0,business,52316.15,5,0.4,2,0
4803,low-risk,18959.0,710.0,business,46186.96,3,0.4,3,0
4804,low-risk,22575.0,724.0,medical expenses,56383.07,8,0.3,2,1
4805,low-risk,21096.0,651.0,car,48792.57,2,0.35,3,0
4806,high-risk,16074.0,522.0,car,57600.87,10,0.45,4,2
4807,low-risk,22386.0,720.0,business,62851.81,8,0.4,5,1
4808,high-risk,12672.0,601.0,business,63641.11,2,0.5,5,1
4809,low-risk,20930.0,677.0,home improvement,45956.23,5,0.4,2,1
4810,low-risk,20656.0,711.0,debt consolidation,60585.26,2,0.4,4,1
4811,low-risk,25006.0,658.0,business,57670.61,2,0.35,2,0
4812,low-risk,15414.0,798.0,medical expenses,55767.19,8,0.4,3,0
4813,high-risk,15058.0,682.0,medical expenses,53485.54,2,0.5,3,2
4814,low-risk,20226.0,719.0,business,47101.35,8,0.3,3,1
4815,low-risk,21467.0,702.0,car,53957.35,3,0.4,5,0
4816,low-risk,25028.0,681.0,debt consolidation,58537.13,3,0.35,3,1
4817,high-risk,11805.0,569.0,medical expenses,56976.71,2,0.5,3,2
4818,low-risk,21201.0,697.0,business,52765.93,2,0.35,5,1
4819,high-ris,16323.0,592.0,business,57400.92,10,0.5,3,2
4820,low-risk,18550.0,676.0,home improvement,63213.06,5,0.35,3,0
4821,low-risk,19915.0,657.0,medical expenses,60241.55,3,0.35,5,1
4822,low-risk,17853.0,707.0,home improvement,54266.47,2,0.4,3,1
4823,low-risk,19866.0,689.0,debt consolidation,53088.21,2,0.4,5,0
4824,low-risk,12992.0,716.0,debt consolidation,54052.24,2,0.4,5,0
4825,low-risk,21287.0,714.0,medical expenses,50490.91,2,0.35,2,1
4826,high-risk,14088.0,590.0,home improvement,59190.23,2,0.45,3,2
4827,high-risk,12212.0,659.0,car,58119.61,10,0.45,3,1
4828,high-risk,12666.0,629.0,home improvement,51062.87,5,0.45,5,1
4829,low-risk,15699.0,662.0,medical expenses,59539.19,10,0.3,2,1
4830,low-risk,25788.0,714.0,medical expenses,59293.31,8,0.4,4,1
4831,low-risk,19692.0,698.0,home improvement,59078.74,10,0.35,4,1
4832,high-risk,16189.0,617.0,business,57571.09,5,0.5,2,1
4833,high-risk,13854.0,617.0,business,46833.8,5,0.45,3,1
4834,low-risk,20072.0,714.0,car,60776.8,8,0.4,4,1
4835,low-risk,24161.0,721.0,car,45360.24,8,0.4,3,0
4836,low-ris,23108.0,669.0,car,50448.42,5,0.3,2,1
4837,low-risk,22563.0,729.0,medical expenses,59226.51,3,0.4,5,0
4838,low-risk,21639.0,709.0,medical expenses,58398.46,5,0.4,2,0
4839,low-risk,18924.0,736.0,business,54156.62,8,0.3,3,0
4840,high-risk,12603.0,571.0,home improvement,52030.0,3,0.5,2,2
4841,low-risk,19397.0,695.0,debt consolidation,60359.81,8,0.35,3,0
4842,low-risk,19292.0,749.0,home improvement,59095.42,10,0.4,3,0
4843,high-risk,11949.0,704.0,business,53727.96,5,0.45,2,2
4844,low-risk,20928.0,772.0,business,43075.04,10,0.35,2,1
4845,low-risk,24837.0,674.0,business,51189.0,2,0.35,2,0
4846,low-risk,23592.0,699.0,business,54760.08,10,0.3,5,0
4847,low-risk,18631.0,683.0,medical expenses,63635.37,2,0.3,5,0
4848,low-risk,14615.0,689.0,car,60043.42,5,0.4,3,1
4849,high-risk,19128.0,655.0,car,51619.09,8,0.45,4,2
4850,low-risk,24078.0,686.0,home improvement,58590.8,3,0.35,2,0
4851,low-risk,15901.0,726.0,home improvement,58618.19,3,0.35,4,1
4852,low-risk,24528.0,693.0,business,52862.33,2,0.3,3,0
4853,low-risk,21146.0,728.0,business,62083.56,8,0.4,3,0
4854,high-risk,11000.0,660.0,debt consolidation,49855.15,2,0.5,2,1
4855,high-risk,12154.0,562.0,car,56662.11,3,0.45,3,1
4856,low-risk,24034.0,719.0,business,51489.85,3,0.4,4,1
4857,high-risk,16512.0,616.0,home improvement,49516.64,5,0.5,3,1
4858,low-risk,21420.0,783.0,home improvement,48242.05,2,0.3,2,1
4859,high-risk,10995.0,580.0,home improvement,55284.87,2,0.45,3,2
4860,low-risk,18800.0,693.0,debt consolidation,56507.55,3,0.35,5,1
4861,high-risk,8088.0,568.0,business,59653.04,3,0.45,5,1
4862,high-risk,17528.0,591.0,business,53280.21,5,0.45,5,2
4863,low-risk,19001.0,664.0,business,55131.52,8,0.35,3,1
4864,low-risk,18900.0,753.0,debt consolidation,59116.86,8,0.3,3,1
4865,high-risk,19849.0,534.0,business,55617.55,8,0.45,5,2
4866,high-risk,9612.0,554.0,car,51505.01,10,0.5,4,1
4867,low-risk,19028.0,731.0,business,51544.99,8,0.4,3,0
4868,high-risk,16666.0,555.0,business,60745.11,5,0.45,3,1
4869,low-risk,15133.0,665.0,home improvement,59447.36,2,0.35,5,0
4870,low-risk,19660.0,696.0,business,57899.2,2,0.4,3,0
4871,low-risk,20395.0,704.0,medical expenses,60962.2,8,0.3,3,1
4872,low-risk,19068.0,716.0,debt consolidation,57759.64,10,0.4,2,1
4873,high-risk,11796.0,575.0,home improvement,68603.87,2,0.45,5,1
4874,low-risk,15244.0,686.0,debt consolidation,47065.26,10,0.35,2,1
4875,high-ris,16933.0,594.0,medical expenses,55403.48,8,0.5,2,2
4876,low-risk,21943.0,665.0,home improvement,52054.04,10,0.3,5,0
4877,low-ris,21481.0,721.0,home improvement,54750.94,3,0.4,4,1
4878,low-risk,23116.0,729.0,medical expenses,49422.4,3,0.3,2,1
4879,low-risk,20605.0,666.0,medical expenses,47580.29,3,0.35,3,0
4880,low-risk,21436.0,690.0,car,53186.35,5,0.4,4,0
4881,low-risk,20468.0,701.0,home improvement,59268.06,5,0.3,2,1
4882,low-risk,22063.0,732.0,debt consolidation,54229.03,8,0.4,2,1
4883,low-risk,15268.0,746.0,business,60089.67,10,0.4,5,1
4884,low-risk,17319.0,705.0,medical expenses,52387.88,10,0.35,5,1
4885,low-risk,24761.0,692.0,car,50936.97,3,0.4,3,1
4886,high-risk,17085.0,608.0,medical expenses,53830.78,3,0.5,5,2
4887,high-risk,13498.0,554.0,debt consolidation,56197.27,3,0.5,5,1
4888,low-risk,23517.0,762.0,business,62348.56,10,0.4,3,1
4889,low-risk,19720.0,739.0,business,58749.04,10,0.35,4,0
4890,low-risk,18785.0,705.0,medical expenses,59934.68,3,0.4,3,1
4891,high-risk,15986.0,550.0,business,51947.69,10,0.5,5,2
4892,low-risk,18941.0,679.0,business,49381.89,5,0.3,4,0
4893,low-risk,20093.0,689.0,debt consolidation,50390.2,8,0.3,3,1
4894,low-risk,17950.0,704.0,medical expenses,55745.65,3,0.35,3,0
4895,low-risk,23326.0,705.0,car,51293.99,2,0.35,3,0
4896,low-risk,24270.0,730.0,car,65305.85,5,0.35,5,1
4897,high-risk,13241.0,585.0,home improvement,57059.16,3,0.5,2,1
4898,low-risk,15841.0,716.0,debt consolidation,47803.62,3,0.35,3,1
4899,low-risk,18428.0,670.0,medical expenses,54217.71,10,0.35,4,1
4900,low-risk,19448.0,671.0,business,54990.8,5,0.4,5,0
4901,low-risk,21517.0,673.0,debt consolidation,50181.72,8,0.3,4,1
4902,high-risk,19122.0,575.0,medical expenses,58752.9,2,0.5,2,1
4903,low-risk,17693.0,639.0,medical expenses,55323.58,3,0.4,4,0
4904,high-risk,19027.0,569.0,debt consolidation,58800.35,8,0.5,3,1
4905,low-risk,22817.0,742.0,debt consolidation,54952.81,2,0.35,4,0
4906,low-risk,18135.0,720.0,debt consolidation,49998.07,8,0.3,4,1
4907,high-risk,16892.0,534.0,home improvement,56935.6,10,0.5,5,1
4908,low-risk,29852.0,679.0,business,52085.79,5,0.3,4,0
4909,high-risk,13180.0,665.0,debt consolidation,49331.18,3,0.45,3,1
4910,low-risk,19199.0,709.0,home improvement,54664.54,2,0.35,3,0
4911,high-risk,11968.0,605.0,car,65937.0,3,0.5,5,2
4912,low-risk,19627.0,682.0,home improvement,59390.73,2,0.3,3,1
4913,low-risk,22601.0,702.0,business,58646.45,8,0.3,5,0
4914,high-risk,14368.0,630.0,car,49884.65,3,0.5,4,1
4915,high-risk,17451.0,618.0,debt consolidation,57995.86,5,0.5,5,1
4916,high-risk,17836.0,455.0,debt consolidation,61684.57,2,0.5,3,2
4917,high-risk,15464.0,550.0,debt consolidation,62623.19,10,0.5,3,2
4918,high-risk,12833.0,610.0,debt consolidation,48515.38,8,0.5,3,2
4919,low-risk,17175.0,740.0,car,57278.26,10,0.3,3,0
4920,low-risk,15920.0,705.0,home improvement,56171.61,8,0.35,3,1
4921,low-risk,19361.0,666.0,home improvement,65475.99,5,0.35,5,1
4922,low-risk,17116.0,729.0,medical expenses,53795.32,10,0.4,3,0
4923,low-risk,19845.0,710.0,home improvement,54008.73,8,0.4,2,1
4924,low-risk,22063.0,766.0,home improvement,59552.55,10,0.3,4,0
4925,low-risk,22986.0,693.0,home improvement,57843.12,8,0.3,2,1
4926,low-risk,22444.0,733.0,home improvement,61952.86,5,0.3,5,1
4927,low-risk,19083.0,657.0,home improvement,47599.92,3,0.35,3,1
4928,low-risk,20149.0,742.0,car,58108.6,8,0.4,4,1
4929,low-risk,21224.0,728.0,business,59252.27,2,0.4,2,0
4930,high-risk,19203.0,586.0,business,57112.13,3,0.45,5,2
4931,high-risk,11417.0,619.0,medical expenses,63388.58,10,0.45,5,1
4932,low-risk,15628.0,697.0,home improvement,51559.72,10,0.35,3,0
4933,low-risk,26121.0,665.0,debt consolidation,53278.01,10,0.3,4,0
4934,low-risk,18786.0,682.0,business,55233.01,2,0.4,4,4.0
4935,low-risk,19445.0,647.0,debt consolidation,60319.82,2,0.3,2,1
4936,low-risk,17691.0,672.0,medical expenses,59773.29,2,0.35,4,0
4937,low-risk,18110.0,713.0,debt consolidation,52077.69,2,0.35,2,1
4938,low-risk,26822.0,699.0,home improvement,54013.98,2,0.3,3,0
4939,low-risk,22821.0,693.0,home improvement,56516.92,2,0.3,3,0
4940,high-risk,13848.0,578.0,car,57859.05,3,0.45,3,2
4941,high-risk,15385.0,660.0,home improvement,57715.13,3,0.5,2,2
4942,low-risk,23580.0,705.0,business,45628.68,10,0.35,2,0
4943,low-risk,19156.0,711.0,home improvement,64279.72,2,0.3,3,0
4944,low-risk,20920.0,670.0,home improvement,51381.08,5,0.4,3,1
4945,low-risk,19955.0,684.0,debt consolidation,51166.46,10,0.3,4,0
4946,high-risk,17620.0,585.0,medical expenses,49206.19,10,0.5,4,1
4947,low-risk,17611.0,735.0,home improvement,54960.52,8,0.3,2,1
4948,high-risk,16516.0,500.0,business,55050.34,10,0.45,3,2
4949,low-risk,18716.0,697.0,medical expenses,52657.69,10,0.3,3,1
4950,high-risk,14027.0,613.0,home improvement,54167.11,10,0.45,4,1
4951,low-risk,26575.0,694.0,medical expenses,46354.27,8,0.4,5,1
4952,high-risk,14411.0,514.0,business,45779.89,5,0.45,3,2
4953,low-risk,20660.0,733.0,debt consolidation,57820.02,2,0.4,2,1
4954,low-risk,14778.0,730.0,debt consolidation,54946.5,8,0.3,5,1
4955,low-risk,18803.0,728.0,car,60261.0,2,0.35,2,0
4956,low-risk,21266.0,692.0,business,55539.76,3,0.3,4,1
4957,high-risk,17463.0,610.0,home improvement,52331.16,10,0.45,2,1
4958,high-risk,11749.0,587.0,home improvement,62090.83,10,0.45,3,2
4959,high-risk,10007.0,641.0,car,52654.09,10,0.5,3,2
4960,low-risk,23480.0,688.0,business,61544.42,10,0.35,2,1
4961,high-risk,11942.0,572.0,medical expenses,63166.79,5,0.45,3,1
4962,low-risk,18240.0,761.0,medical expenses,53031.4,2,0.4,3,0
4963,low-risk,20230.0,763.0,debt consolidation,58897.91,8,0.35,2,1
4964,low-risk,20550.0,689.0,medical expenses,58541.95,8,0.35,5,0
4965,low-risk,21858.0,692.0,medical expenses,55125.97,5,0.3,2,1
4966,low-risk,20043.0,669.0,business,58077.74,5,0.4,2,1
4967,low-risk,20571.0,704.0,business,51936.53,3,0.35,2,0
4968,low-risk,19270.0,668.0,car,58692.91,2,0.3,5,0
4969,high-risk,11524.0,652.0,business,53881.56,10,0.45,2,2
4970,low-risk,23894.0,721.0,car,52951.38,10,0.3,5,1
4971,low-risk,21938.0,712.0,car,48089.95,5,0.3,2,1
4972,low-risk,22104.0,646.0,home improvement,59823.77,5,0.4,3,1
4973,low-risk,22169.0,747.0,medical expenses,50521.27,8,0.3,3,1
4974,low-risk,19539.0,667.0,business,54214.35,8,0.4,5,0
4975,low-risk,20956.0,671.0,car,55307.93,5,0.3,3,0
4976,low-risk,16744.0,663.0,medical expenses,61324.73,3,0.3,2,1
4977,low-risk,23806.0,680.0,business,52529.5,3,0.35,3,0
4978,low-risk,11651.0,673.0,medical expenses,49037.93,10,,3,1
4979,high-risk,19634.0,552.0,car,51306.99,3,0.45,2,1
4980,low-risk,23423.0,626.0,medical expenses,59759.12,10,0.4,3,1
4981,low-risk,15908.0,704.0,debt consolidation,61536.45,3,0.4,4,1
4982,high-risk,18416.0,673.0,medical expenses,60783.09,3,0.45,3,2
4983,low-risk,17958.0,767.0,debt consolidation,54781.25,5,0.4,3,1
